epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
34,4.0635750460624696,2.5070859835147856,42.8,70.05,1.3366e-05
35,4.041830596590042,2.4568409606218338,43.41,71.09,1.3465e-05
36,4.035614371490478,2.4940653327703477,43.18,69.87,1.3564000000000001e-05
37,4.008233788061142,2.424131444334984,44.3,71.56,1.3663000000000001e-05
38,3.9964371726989745,2.4250090849995614,44.43,70.99,1.3762000000000001e-05
39,3.983909860467911,2.3813891061544417,45.1,72.03,1.3861000000000002e-05
40,4.122797240161896,2.4133920369148254,44.79,71.46,1.3960000000000002e-05
41,4.106650495576859,2.3728131889700887,44.9,72.35,1.4059e-05
42,4.07994703669548,2.371030393898487,45.06,71.88,1.4158e-05
43,4.077536790847779,2.3316506905555725,46.25,73.02,1.4257000000000001e-05
44,4.05475557179451,2.3256756157875063,46.28,73.01,1.4356000000000001e-05
45,4.059758037519455,2.3414926903247832,46.47,72.89,1.4455e-05
46,4.03805639295578,2.2817982947826385,47.59,73.51,1.4554e-05
47,4.022820298099518,2.318041026353836,46.7,72.98,1.4653e-05
48,4.02650172495842,2.274680995106697,47.4,73.61,1.4752e-05
49,4.011060899925232,2.318843468785286,46.84,73.15,1.4851e-05
50,3.995296918582916,2.227498098552227,48.43,74.66,1.4950000000000001e-05
51,3.9893631105422975,2.1798694856762886,49.53,75.32,1.5049000000000001e-05
