epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.186717642688751,4.7329527273178105,6.47,19.67,1e-05
1,5.070576569747924,4.5322989344596865,8.28,25.18,1.0099000000000001e-05
2,5.022301135158539,4.425032357215882,9.73,27.31,1.0198000000000001e-05
3,4.981440954303742,4.343189106464386,11.51,29.36,1.0297000000000002e-05
4,4.9513117164611815,4.266001715660095,12.27,31.71,1.0396e-05
5,4.924742076206207,4.209281410217285,13.79,33.96,1.0495e-05
6,4.91272336101532,4.1387635846138,14.42,35.42,1.0594e-05
7,4.883623352527619,4.067617902994156,15.47,37.37,1.0693e-05
8,4.8570730208396915,4.008384499311447,15.61,37.82,1.0792000000000001e-05
9,4.836239834165573,3.949530498981476,16.99,39.42,1.0891000000000001e-05
10,4.808105339670181,3.874119881629944,18.1,41.82,1.0990000000000002e-05
11,4.789096921157837,3.7805801243782042,19.56,43.83,1.1089000000000002e-05
12,4.757590816545487,3.723218974351883,21.22,45.7,1.1188e-05
13,4.73172512011528,3.6506206498146057,21.89,46.9,1.1287e-05
14,4.715400210857391,3.611113202095032,23.3,48.49,1.1386e-05
15,4.693467884969711,3.5042749094963073,24.35,50.43,1.1485000000000001e-05
16,4.6674294381141666,3.462549015045166,25.46,50.87,1.1584000000000001e-05
17,4.645201448869705,3.4149223990440367,26.08,52.54,1.1683000000000001e-05
18,4.628344645833969,3.3682199416160583,27.79,53.75,1.1782e-05
19,4.605008708667755,3.321338576555252,27.98,54.64,1.1881e-05
20,4.584606269073486,3.2650596177577973,28.16,55.52,1.198e-05
21,4.5633282457351685,3.204954386472702,29.67,57.28,1.2079e-05
22,4.544836409807205,3.1937679017782212,30.51,57.22,1.2178000000000001e-05
23,4.535424638795853,3.133336392879486,31.54,58.3,1.2277000000000001e-05
24,4.516699434185028,3.092983071565628,32.06,58.94,1.2376000000000001e-05
25,4.518353273773194,3.0674086129665374,32.46,60.17,1.2475000000000002e-05
26,4.489641118812561,3.026339042186737,33.59,61.01,1.2574e-05
27,4.473057280158996,3.001380513191223,34.02,61.17,1.2673e-05
28,4.460703758239746,2.9711980760097503,34.58,61.77,1.2772e-05
29,4.454973980283738,2.973385126233101,33.46,61.35,1.2871000000000001e-05
30,4.43466893749237,2.9147502791881563,35.39,63.21,1.2970000000000001e-05
31,4.4258462040424345,2.870036936163902,36.62,64.35,1.3069000000000001e-05
32,4.4074499388217925,2.8379070720672606,37.27,64.42,1.3168e-05
33,4.394497828531265,2.8211934915781023,37.7,65.06,1.3267e-05
34,4.387253133106232,2.817599816441536,37.97,64.9,1.3366e-05
35,4.375417588663101,2.7752651673555375,38.65,66.25,1.3465e-05
36,4.365234970140457,2.706607529640198,39.67,66.83,1.3564000000000001e-05
37,4.354873579406738,2.710608606696129,40.47,67.07,1.3663000000000001e-05
38,4.332305764055252,2.6885162653923036,40.59,67.63,1.3762000000000001e-05
39,4.335687167263031,2.6583860577344893,41.1,67.73,1.3861000000000002e-05
40,4.316350146150589,2.6434505549669267,41.97,68.23,1.3960000000000002e-05
41,4.315579604482651,2.6467445806264878,41.6,68.4,1.4059e-05
42,4.299689048290253,2.6156861966848375,42.45,69.03,1.4158e-05
43,4.293055919981003,2.592633854150772,43.37,69.34,1.4257000000000001e-05
44,4.276943433094025,2.5547771788835525,43.63,69.81,1.4356000000000001e-05
45,4.274085628080368,2.5504883881807325,43.93,70.09,1.4455e-05
46,4.258282692289352,2.5386717962026597,43.29,69.68,1.4554e-05
